rank,player,log,lda,rf,gbc,dnn,avg
197,Sindarius Thornwell,32.52826704,32.53391725,32.84002361,33.06510365,33.42377628,32.87821756
198,Thon Maker,33.28090325,33.26888654,32.16674284,32.4096606,33.04672789,32.83458422
199,Enes Kanter,33.4527459,33.39608933,31.73339362,32.25093396,33.15135159,32.79690288
200,JaMychal Green,32.99327486,32.96439635,32.47339081,33.08377474,32.35895879,32.77475911
201,Wesley Matthews,32.34667633,32.3213707,33.75645734,32.92518809,32.17127751,32.704194
202,Cheick Diallo,33.12428669,33.12279375,31.8126216,32.18882673,33.10435669,32.67057709
203,Jamal Crawford,32.93060333,32.88578275,32.25066775,32.84834275,32.20850237,32.62477979
204,Rodney Hood,32.39196535,32.37849949,33.32456685,32.6221369,32.35960084,32.61535389
205,Zaza Pachulia,33.26921214,33.259842,31.3034602,31.98401156,33.02114077,32.56753334
206,Nik Stauskas,32.9446093,32.93481651,31.77941358,32.28640411,32.84636695,32.55832209
207,Josh Hart,32.08810936,32.08151909,32.91704136,32.63343619,32.62126756,32.46827471
208,John Collins,32.60883768,32.56720782,32.02008846,31.93105746,32.45570996,32.31658028
209,Zach LaVine,31.88108663,31.78400007,33.06803519,32.28689167,32.1305408,32.23011087
210,Trey Lyles,32.63155781,32.59919025,31.43872731,31.65464725,32.43210045,32.15124462
211,Tim Hardaway,31.86485577,31.78769756,32.83959841,32.28387523,31.39489328,32.03418405
212,Mike Muscala,31.93778872,31.90138051,31.43558705,31.91754708,32.01442456,31.84134558
213,OG Anunoby,31.46478579,31.47890656,31.9921032,32.06282913,31.94538646,31.78880223
214,Pat Connaughton,31.77656524,31.73994012,31.2241152,32.02695102,31.77728586,31.70897149
215,Rodney McGruder,31.25970712,31.26041374,32.235316,31.83776821,31.69315799,31.65727261
216,Iman Shumpert,31.09534429,31.08712686,31.54451106,31.8710354,31.49333299,31.41827012
217,Meyers Leonard,31.92706014,31.90444175,30.17762666,30.80366729,31.76036461,31.31463209
218,Jabari Parker,31.40296141,31.36513905,31.2000103,31.36810224,31.08338068,31.28391874
219,Alec Burks,31.60154178,31.56467702,30.56686927,30.82273755,31.40660975,31.19248707
220,Marvin Bagley,31.31862353,31.29204571,30.94911564,31.10255523,30.78127566,31.08872315
221,Michael Kidd-Gilchrist,31.26599456,31.27114855,30.54515803,30.39631504,30.99787636,30.89529851
222,Anthony Tolliver,30.69167332,30.67970495,30.71873363,31.09356337,30.79982903,30.79670086
223,Luke Kennard,30.57694033,30.54320831,30.8514177,30.87567536,30.60884143,30.69121663
224,Dante Cunningham,30.6325387,30.63481029,30.40224414,30.77899132,30.91810469,30.67333783
225,Abdel Nader,30.65722043,30.66709264,30.20007652,30.38037078,31.04463732,30.58987954
226,Wesley Iwundu,30.50445155,30.51558169,30.68760242,30.85562582,30.32703732,30.57805976
227,Tyrone Wallace,30.52627958,30.53975536,29.73557595,30.03611091,30.88793197,30.34513075
228,Tim Frazier,30.63032037,30.58640117,29.498896,30.27917162,30.30523462,30.26000475
229,Norman Powell,30.19822625,30.18535442,30.06441914,30.19709978,29.96925877,30.12287167
230,Shabazz Napier,30.39594339,30.34126566,29.58530779,30.17363819,30.05999577,30.11123016
231,Trey Burke,30.23677037,30.18589308,29.74069412,30.09951139,30.22708621,30.09799103
232,Rodions Kurucs,30.12236552,30.12229449,29.92492021,30.0472367,30.04331918,30.05202722
233,Ian Clark,30.06881214,30.06011814,29.93922784,30.08794606,30.10235048,30.05169093
234,Ivica Zubac,30.34391536,30.32717709,29.19332863,29.41824531,30.25382563,29.90729841
235,Boban Marjanovic,30.45652908,30.43237041,28.43533806,29.08503511,30.59265129,29.80038479
236,Shaun Livingston,30.16948251,30.17184363,29.23284799,29.54201972,29.7563709,29.77451295
237,Jahlil Okafor,29.85677832,29.85491278,29.46423273,29.52771859,30.07832382,29.75639325
238,Tony Parker,29.69107264,29.68256427,29.14404163,29.93486547,29.85691229,29.66189126
239,Reggie Bullock,29.22028555,29.18931579,30.40089694,29.71148847,29.30160256,29.56471786
240,Rondae Hollis-Jefferson,29.7801613,29.78321293,28.94054298,29.18563436,29.60439567,29.45878945
241,Derrick Jones,29.30019911,29.2994751,29.38567326,29.3906257,29.41989278,29.35917319
242,T.J. Leaf,29.82921651,29.83118013,28.53009891,28.75423387,29.74804961,29.33855581
243,Willy Hernangomez,30.14582023,30.11181749,27.7475521,28.77179977,29.81760056,29.31891803
244,Maurice Harkless,29.26257546,29.25783664,29.05712447,29.41128716,29.40379525,29.2785238
245,Sterling Brown,29.26759221,29.26720778,28.92313773,29.1392272,29.47446918,29.21432682
246,Georges Niang,29.68647343,29.68048136,28.20344907,28.70157552,29.73526319,29.20144851
247,Allonzo Trier,28.98719666,28.98005061,29.55799084,29.36050541,28.75720257,29.12858922
248,Otto Porter,29.36007684,29.30534201,28.66052797,28.78238785,29.31701585,29.08507011
249,Cristiano Felício,29.41809285,29.43126717,28.44364955,28.54155322,29.50163112,29.06723878
250,Harry Giles,29.53127739,29.52105124,28.15579541,28.44141928,29.63874004,29.05765667
251,Jerian Grant,29.31059548,29.27253966,28.21313366,29.24698876,29.08652291,29.02595609
252,Markieff Morris,29.16163453,29.13254487,28.76462617,28.92025152,29.06631375,29.00907417
253,George Hill,28.82112285,28.81538765,29.26685825,29.38200122,28.68598847,28.99427169
254,Emmanuel Mudiay,28.87658931,28.8222011,29.26206655,29.01459106,28.52016836,28.89912328
255,Patrick Patterson,28.83883211,28.84325717,28.44475627,28.75621837,29.03755119,28.78412302
256,Frank Jackson,28.5616576,28.56479844,29.26906528,28.72616317,28.56851319,28.73803954
257,Jaren Jackson,28.75031997,28.73325804,28.92840988,28.74381807,28.45528386,28.72221796
258,Tyler Johnson,28.50631719,28.46417797,28.81772946,28.81034555,28.21613787,28.56294161
259,Ish Smith,28.6462416,28.61691248,28.04894183,28.43733104,28.46416192,28.44271777
260,Taurean Waller-Prince,28.02843387,28.00540517,28.58266469,28.16881482,27.70249503,28.09756271
261,Avery Bradley,27.17901373,27.19364401,29.75425704,28.72616127,27.32430748,28.03547671
262,Mario Hezonja,28.11807374,28.11423338,27.79087593,27.78381729,28.2712041,28.01564089
263,Ante Zizic,27.98721421,27.99050376,27.95892924,27.95349864,27.89637992,27.95730515
264,Shelvin Mack,27.60626394,27.58280141,27.62422841,27.79623024,27.29059462,27.58002373
265,Jonathon Simmons,27.4454302,27.45500936,27.73450965,27.62348079,27.07054141,27.46579428
266,Lauri Markkanen,27.67117258,27.59908535,26.86614626,27.09595254,27.17232701,27.28093675
267,Gary Harris,27.02995378,27.0146606,27.74909027,27.37657589,27.01122266,27.23630064
268,Derrick Rose,27.17662121,27.12017878,26.82651062,27.07864273,27.45614974,27.13162061
269,Wayne Ellington,26.56079401,26.51330255,27.17197999,27.02506646,27.01335526,26.85689966
270,Jared Dudley,26.49530896,26.50321808,26.95666243,27.08583348,26.64300564,26.73680572
271,Ekpe Udoh,26.84150797,26.82837327,25.92716279,26.52372056,27.12242606,26.64863813
272,Antonio Blakeney,26.6442289,26.64492818,26.35942641,26.46262808,26.67055032,26.55635238
273,Troy Brown,26.91114256,26.90860747,25.8281365,26.16600464,26.92429369,26.54763697
274,Jonas Valanciunas,26.80953564,26.7693966,26.08926463,26.01490123,26.41445539,26.4195107
275,Dennis Smith,26.32577018,26.28146589,26.8621701,26.5113001,25.87064857,26.37027097
276,C.J. Miles,26.33783513,26.33232576,26.1981267,26.45897712,26.51350176,26.3681533
277,James Johnson,26.59504132,26.55503733,25.74878954,26.30288488,26.3882067,26.31799195
278,Dirk Nowitzki,26.68365571,26.65518767,25.16684807,25.56519559,26.61045673,26.13626875
279,Bismack Biyombo,26.55394941,26.54672016,25.31635529,25.62326588,26.58978041,26.12601423
280,Bobby Portis,26.23426987,26.1819172,25.89658096,26.10422077,26.04828245,26.09305425
281,James Ennis,25.5631504,25.55595076,26.18559293,25.95077426,25.63591352,25.77827637
282,Elie Okobo,25.80781491,25.80388229,25.81457721,25.98828673,25.47119973,25.77715217
283,Tyson Chandler,25.76330799,25.76908935,25.38968794,25.5948062,25.79588644,25.66255558
284,De'Anthony Melton,25.78874557,25.7714232,25.24526199,25.85518439,25.65051112,25.66222525
285,Timothe Luwawu-Cabbarot,25.26470631,25.27629378,25.76946919,25.74325053,25.63475373,25.53769471
286,Semi Ojeleye,25.55018944,25.54392823,24.88118652,25.0817611,25.63776837,25.33896673
287,Aron Baynes,25.54649619,25.53459249,24.50036231,24.97872261,25.34391963,25.18081864
288,Gary Clark,25.20669677,25.20014442,24.5535286,25.07819296,25.43650458,25.09501346
289,Quincy Pondexter,24.92421932,24.916489,24.94980558,25.06302923,25.47492868,25.06569436
290,Nikola Mirotic,25.18310545,25.09842011,24.96717333,25.03754573,24.88941726,25.03513238
291,Troy Daniels,25.01727018,24.99972464,24.44735024,24.80699976,25.31350142,24.91696925
292,Justin Anderson,25.10540787,25.10449426,24.40791155,24.82436362,25.10696178,24.90982782
293,David Nwaba,24.96790634,24.98279431,24.76189413,24.69045977,24.96076476,24.87276386
294,Amir Johnson,25.37978462,25.36883764,23.84812625,24.21111664,25.47174437,24.85592191
295,Aaron Holiday,25.13945963,25.10987185,24.20884291,24.77534424,24.9168284,24.83006941
296,Wilson Chandler,24.66904003,24.6749069,24.92940645,24.8190235,25.02269726,24.82301483
297,Cody Zeller,24.89185879,24.89105701,24.43409361,24.79042678,24.91790897,24.78506903
